                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.61257,                0.91321,                0.61104,                0.92091,                0.85915,                0.80212,                0.86021,                0.69499,                0.85775,                0.80221,                0.85859,                0.65254,                0.74088,                 1.3294,                 0.8237,                0.99448,             0.00086169,             0.00086169,             0.00086169
                     70,                0.61156,                0.91073,                  0.603,                0.92683,                0.87278,                0.80136,                0.86646,                0.70446,                0.88865,                0.79687,                0.86738,                0.66055,                0.75277,                 1.2859,                 0.7949,                0.99608,             0.00085803,             0.00085803,             0.00085803
                     71,                0.60686,                 0.9128,                0.60486,                0.92325,                0.84123,                0.83998,                0.87513,                0.71756,                0.84543,                0.84049,                0.87983,                0.68521,                0.74371,                 1.2356,                0.74723,                0.98891,             0.00085436,             0.00085436,             0.00085436
                     72,                0.61842,                 0.9158,                0.60558,                0.92573,                0.85741,                0.82783,                 0.8688,                0.70102,                0.87942,                0.80628,                0.86678,                0.66555,                0.74919,                 1.2587,                0.77307,                 1.0037,             0.00085069,             0.00085069,             0.00085069
                     73,                0.59349,                0.87421,                0.58575,                0.92571,                0.85581,                0.79537,                0.85797,                0.68349,                0.85354,                0.79255,                0.84746,                0.65453,                 0.7743,                 1.2831,                0.83417,                 1.0199,             0.00084703,             0.00084703,             0.00084703
                     74,                 0.6051,                0.88507,                0.59278,                0.92578,                0.86631,                0.80285,                0.85797,                0.69424,                0.86804,                0.80423,                0.86047,                0.66579,                0.75194,                  1.271,                0.78527,                 1.0031,             0.00084336,             0.00084336,             0.00084336
                     75,                0.59526,                0.84491,                0.58338,                0.92546,                 0.8646,                0.81229,                0.86355,                0.70661,                0.86597,                0.81026,                0.85685,                0.66928,                0.73826,                 1.2921,                0.77777,                0.99822,             0.00083969,             0.00083969,             0.00083969
                     76,                0.60273,                0.90577,                0.58093,                0.92282,                0.86117,                0.81987,                0.87314,                0.70948,                0.87074,                0.81941,                0.87142,                0.67981,                0.73024,                 1.2259,                0.77443,                 0.9897,             0.00083603,             0.00083603,             0.00083603
                     77,                0.59258,                0.91857,                0.57152,                0.92084,                 0.8323,                0.82243,                0.85789,                0.69598,                0.85727,                0.79041,                0.85647,                 0.6641,                 0.7523,                 1.3267,                0.82407,                 1.0111,             0.00083236,             0.00083236,             0.00083236
                     78,                0.61312,                0.95244,                0.58308,                0.92049,                0.87388,                0.80807,                 0.8724,                0.70905,                0.87382,                0.80788,                 0.8744,                0.68307,                0.73649,                 1.3007,                0.75887,                0.99265,             0.00082869,             0.00082869,             0.00082869
                     79,                0.59449,                0.89115,                 0.5799,                0.91892,                0.84376,                 0.8239,                0.86549,                0.71124,                0.84457,                0.82842,                0.86438,                  0.677,                0.72055,                  1.259,                0.80977,                0.98037,             0.00082503,             0.00082503,             0.00082503
                     80,                0.58993,                0.90563,                 0.5856,                0.91925,                0.88187,                0.82756,                0.87343,                0.71235,                0.87542,                0.82187,                0.86758,                0.68709,                0.74094,                 1.3019,                0.79913,                0.98917,             0.00082136,             0.00082136,             0.00082136
